pid_vid,0_bvp,1_bvp,2_bvp,3_bvp,4_bvp,5_bvp,6_bvp,7_bvp,8_bvp,9_bvp,10_bvp,11_bvp,12_bvp,13_bvp,14_bvp,15_bvp,16_bvp,17_bvp,18_bvp,19_bvp,20_bvp,21_bvp,22_bvp,23_bvp,24_bvp,25_bvp,26_bvp,27_bvp,28_bvp,29_bvp,30_bvp,31_bvp,32_bvp,33_bvp,0_gsr,1_gsr,2_gsr,3_gsr,4_gsr,5_gsr,6_gsr,7_gsr,8_gsr,9_gsr,10_gsr,11_gsr,12_gsr,13_gsr,14_gsr,15_gsr,16_gsr,17_gsr,18_gsr,19_gsr,20_gsr,21_gsr,22_gsr,0_temp,1_temp,2_temp,3_temp,4_temp,5_temp,6_temp,7_temp,8_temp,9_temp,10_temp,11_temp,12_temp,13_temp,14_temp,15_temp,16_temp,17_temp,18_temp,19_temp,20_temp,21_temp,22_temp,0_eye,1_eye,2_eye,3_eye,4_eye,5_eye,6_eye,7_eye,8_eye,9_eye,10_eye,11_eye,12_eye,13_eye,14_eye,15_eye,16_eye,17_eye,18_eye,19_eye,20_eye,21_eye,22_eye,23_eye,24_eye,25_eye,26_eye,27_eye,28_eye,29_eye,30_eye,31_eye,32_eye,33_eye,34_eye,35_eye,36_eye,37_eye,38_eye,presenter_subjective_belief
p01_1fn,0.547779958,0.783324855,0.65992811,0.022156134,0.000490894,0.660299759,0.00217558,0.004315259,-5.026142099,6.465114044,0.100637585,2.00572457,4.022931052,2.008247738,0.038389515,0.001129814,66,9,60,192,85.39702002,37.53300791,1408.726683,93.28117555,12.38341166,22.86084127,120.0577201,499.7596154,351.865439,309.9655372,553.4413268,0.828125,0.9375,0.883333333,0.327512049,0.423580294,0.35850845,0.017323794,0.000300114,0.358923598,0.327512049,0.423580294,0.35850845,0.017323794,0.000300114,0.358923598,0.002866856,0.002888961,0.002866856,0.002888961,30,30,1,2,0.182334367,0.005556228,0.5,0.762711864,0.785310734,0.774867317,0.0065666,4.31E-05,0.77489493,0.762711864,0.785310734,0.774867317,0.0065666,4.31E-05,0.77489493,0.000991935,0.001999131,0.000991935,0.001999131,9,9,1,2,0.357371557,-0.121733561,0.5,0.177485126,0.720859746,0.602746831,0.099854357,0.009970893,0.610957909,0.002342035,0.004522874,2,5,0.164433509,-0.046415116,0.4,0.242074488,0.665319561,0.528129687,0.092437208,0.008544637,0.536154138,0.002348932,0.004501063,2,5,0.164001263,0.031918596,0.4,0.209779807,0.686261146,0.565438259,0.088097525,0.007761174,0.572256632,0.002238538,0.004316588,2,5,0.164327706,-0.061931631,0.4,1
p01_6mn,0.580711189,0.756776397,0.659395939,0.01915161,0.000366784,0.659673891,0.002089337,0.004136075,-2.763745925,2.527905103,-0.032107273,0.923190466,0.852280637,0.92374862,0.017512272,0.000579002,68,14,52.60273973,192,74.65773322,23.93669621,572.9654254,78.40116424,14.60255672,26.10938413,105.2269939,570.1958955,359.3331531,298.5171772,564.7478497,0.893939394,0.984848485,0.907692308,0.305675411,0.331878012,0.314660722,0.006801884,4.63E-05,0.314733762,0.305675411,0.331878012,0.314660722,0.006801884,4.63E-05,0.314733762,0.002071427,0.002113003,0.002071427,0.002113003,28,28,1,3,0.158316561,0.00282139,0.333333333,0.813559322,0.853107345,0.83284753,0.011744191,0.000137926,0.832929802,0.813559322,0.853107345,0.83284753,0.011744191,0.000137926,0.832929802,0.00065189,0.001312192,0.00065189,0.001312192,6,6,1,3,0.390250361,0.019637768,0.333333333,0.299395699,0.744542388,0.63151742,0.064995938,0.004224472,0.634851878,0.002457394,0.004739817,1,4,0.283398456,0.022084417,0.25,0.190788465,0.674423017,0.547660563,0.087660987,0.007684449,0.554628916,0.003678806,0.007024259,1,6,0.283254468,0.005219486,0.166666667,0.28445493,0.68976706,0.589588992,0.066759383,0.004456815,0.593354933,0.002838473,0.005446904,1,6,0.283381282,0.002630658,0.166666667,1
p01_1mn,0.442906281,1,0.659247007,0.039727706,0.001578291,0.660442361,0.003189927,0.006281526,-15.31737138,10.75834825,-0.325044984,4.836263847,23.389448,4.847174666,0.079513753,0.002222896,67,9,53.33333333,192,97.84358965,40.77224304,1662.375802,105.9987917,23.35299871,37.73614563,128.6497462,466.3825758,323.7241221,288.1745367,500.4355074,0.861538462,0.907692308,0.949152542,0.074235018,0.135368736,0.096837064,0.013505828,0.000182407,0.097766892,0.074235018,0.135368736,0.096837064,0.013505828,0.000182407,0.097766892,0.002218466,0.002804599,0.002218466,0.002804599,17,17,2,3,0.024260199,0.001647335,0.666666667,0.033898305,0.056497175,0.046011299,0.006033272,3.64E-05,0.046402035,0.033898305,0.056497175,0.046011299,0.006033272,3.64E-05,0.046402035,0.000865683,0.001699509,0.000865683,0.001699509,5,5,1,5,0.016256227,-0.005302108,0.2,0.306383278,0.694017472,0.60519418,0.049781435,0.002478191,0.607237059,0.00249084,0.004817204,1,5,0.27912,-0.007195968,0.2,0.268790948,0.721273687,0.552088292,0.046353068,0.002148607,0.554029716,0.002540107,0.004888122,2,4,0.10994606,-0.050110573,0.5,0.287587113,0.704692145,0.578641236,0.043292265,0.00187422,0.580257603,0.002367644,0.004573295,2,4,0.112301396,-0.045173195,0.5,1
p01_6fn,0.487585689,0.958505923,0.65935228,0.029801396,0.000888123,0.660025117,0.001665589,0.003305564,-6.573206739,12.46197558,0.062864971,2.207466616,4.872908862,2.20836158,0.028489358,0.000959777,67,10,56.47058824,192,87.62194603,34.54083546,1193.069314,94.18425952,23.82448519,39.99062904,113.8544474,526.9886364,326.4584465,272.9518352,481.6767276,0.938461538,0.969230769,0.968253968,0.017467264,0.074235018,0.043666889,0.016205285,0.000262611,0.046556911,0.017467264,0.074235018,0.043666889,0.016205285,0.000262611,0.046556911,0.002058703,0.002199177,0.002058703,0.002199177,23,23,1,5,0.038243808,-0.004875882,0.2,0,0.033898305,0.011059022,0.00905649,8.20E-05,0.014273761,0,0.033898305,0.011059022,0.00905649,8.20E-05,0.014273761,0.000968523,0.001910336,0.000968523,0.001910336,7,7,2,5,0.009088638,-0.004078481,0.4,0.350145413,0.706052128,0.595701927,0.053793583,0.00289375,0.598124694,0.002314823,0.00443341,1,5,0.299043434,0.022464739,0.2,0.279256123,0.690933626,0.532269987,0.048262245,0.002329244,0.534452494,0.002071354,0.003892452,1,3,0.29867578,-0.028659289,0.333333333,0.314700768,0.678081963,0.563985957,0.046185888,0.002133136,0.56587302,0.001954046,0.003727953,1,5,0.298954201,0.030237171,0.2,1
p01_3fd,0.236804496,0.868771649,0.659451193,0.034613003,0.00119806,0.66035859,0.003182979,0.006289657,-5.794630112,5.159873968,0.056155082,1.8251665,3.331232753,1.82603016,0.033523459,0.00112421,87,14,61.93548387,174.5454545,83.97550387,23.08586879,532.9573379,87.09100176,13.35208697,21.92757389,129.8113208,462.2093023,314.4512584,225.1432286,535.6435965,0.929411765,0.976470588,0.951807229,0.458514822,0.524017914,0.481895331,0.013498345,0.000182205,0.48208317,0.458514822,0.524017914,0.481895331,0.013498345,0.000182205,0.48208317,0.002401727,0.002169746,0.002401727,0.002169746,31,31,1,2,0.242621091,-0.010003493,0.5,0.884180791,0.915254237,0.898971822,0.009140042,8.35E-05,0.899017996,0.884180791,0.915254237,0.898971822,0.009140042,8.35E-05,0.899017996,0.001165254,0.002345166,0.001165254,0.002345166,9,9,1,3,0.425500546,0.004540143,0.333333333,0.308784465,0.718103727,0.623815542,0.048273467,0.002330328,0.625679781,0.002011734,0.003859125,2,5,0.116816104,0.007340208,0.4,0.279295812,0.974424293,0.602349338,0.083901794,0.007039511,0.608162235,0.002656571,0.005053377,2,6,0.160699009,0.033418466,0.333333333,0.294040138,0.784740085,0.61308244,0.049019172,0.002402879,0.615038175,0.002077152,0.003969388,1,5,0.29408033,0.036404334,0.2,0
p01_7md,0.575055107,0.753046048,0.65951867,0.022558093,0.000508868,0.659904224,0.002635342,0.005210984,-4.328026062,3.145771927,0.065796369,1.217337811,1.481911347,1.219114642,0.021030791,0.000626079,109,16,57.31343284,192,83.34100756,26.6797426,711.8086649,87.50732659,14.99390339,23.12685227,129.8028169,462.2395833,323.8682007,250.5625814,543.6591865,0.91588785,0.953271028,0.960784314,0.388645767,0.458514822,0.423841475,0.018468418,0.000341082,0.424241655,0.388645767,0.458514822,0.423841475,0.018468418,0.000341082,0.424241655,0.002008923,0.001821528,0.002008923,0.001821528,36,36,2,3,0.146093301,0.042459895,0.666666667,0.920903955,1,0.958147118,0.024018102,0.000576869,0.958446607,0.920903955,1,0.958147118,0.024018102,0.000576869,0.958446607,0.000988701,0.001987338,0.000988701,0.001987338,11,11,2,3,0.289956378,-0.026415389,0.666666667,0.339348084,0.987080317,0.63547462,0.066365826,0.004404423,0.638929515,0.002349944,0.004534967,4,5,0.103140483,0.013406002,0.8,0.215357956,0.688205631,0.555890583,0.062359391,0.003888694,0.559376187,0.002822852,0.005405328,3,7,0.100792241,0.041017847,0.428571429,0.323442689,0.798353698,0.595682601,0.057432518,0.003298494,0.598443932,0.002441621,0.004702549,3,5,0.106904087,0.019459398,0.6,0
p01_3md,0.357943948,0.940798876,0.659593511,0.031858355,0.001014955,0.660362115,0.002407864,0.004753933,-3.86753523,5.599155428,0.053753898,1.900076216,3.610289626,1.900836423,0.036028895,0.001116504,81,12,49.87012987,192,95.23748894,38.1214917,1453.248129,102.5837581,30.66773514,51.46719406,132.4708926,452.9296875,312.8269164,256.8435098,495.0931099,0.873417722,0.949367089,0.92,0.065499681,0.100434209,0.084463773,0.007802101,6.09E-05,0.084820898,0.065499681,0.100434209,0.084463773,0.007802101,6.09E-05,0.084820898,0.002800568,0.002547072,0.002800568,0.002547072,40,40,1,4,0.048127826,0.009086191,0.25,0.225988701,0.259887006,0.243286123,0.010887132,0.00011853,0.243527936,0.225988701,0.259887006,0.243286123,0.010887132,0.00011853,0.243527936,0.000896162,0.001804771,0.000896162,0.001804771,7,7,1,5,0.10624897,0.003901773,0.2,0.343145129,0.714802898,0.658860233,0.045759166,0.002093901,0.660446634,0.002061008,0.00386887,2,5,0.183240116,0.00922452,0.4,0.329030844,0.745574728,0.606294149,0.047459201,0.002252376,0.608147965,0.004243551,0.007575292,2,6,0.182927853,0.008661443,0.333333333,0.336087986,0.714933914,0.632577191,0.039194813,0.001536233,0.633789743,0.002739027,0.004964253,2,5,0.183195131,0.012363782,0.4,0
p01_7fd,0.568660223,0.759283482,0.659465329,0.020978969,0.000440117,0.659798795,0.002090035,0.004128098,-3.539007279,2.331638012,-0.194001155,1.245866161,1.552182491,1.260880224,0.023622901,0.000797157,91,13,53.33333333,192,104.4964701,40.09314488,1607.460267,111.9239587,30.75785888,52.35821321,149.4809689,401.3888889,285.8577458,273.5817298,469.0249662,0.831460674,0.943820225,0.880952381,0.043666454,0.061133718,0.050934867,0.004566902,2.09E-05,0.051137798,0.043666454,0.061133718,0.050934867,0.004566902,2.09E-05,0.051137798,0.002138475,0.002001659,0.002138475,0.002001659,29,29,1,5,0.029274606,0.004358459,0.2,0.265536723,0.327683616,0.290999149,0.017254814,0.000297729,0.291506765,0.265536723,0.327683616,0.290999149,0.017254814,0.000297729,0.291506765,0.000974089,0.001961707,0.000974089,0.001961707,6,6,1,6,0.126296977,-0.002108159,0.166666667,0.322601921,0.715645301,0.659825559,0.041078835,0.001687471,0.661102466,0.002288464,0.004340965,1,6,0.333938449,-0.029838137,0.166666667,0.324770814,0.7109379,0.595840999,0.048615525,0.002363469,0.597820115,0.003500329,0.006512194,1,5,0.333807968,-0.021062981,0.2,0.323686368,0.696608602,0.627833279,0.040332261,0.001626691,0.629126837,0.002594606,0.004877818,1,5,0.333908891,-0.018160104,0.2,0
p01_4fd,0.513589129,0.88181576,0.659432963,0.020081442,0.000403264,0.659738511,0.002067753,0.004059502,-2.075870203,3.223248618,0.089904239,1.048446321,1.099239689,1.052293904,0.021024094,0.000645163,123,10,80,192,146.759056,34.0927391,1162.314859,150.6669684,41.17758992,70.09992073,225.773494,265.7530738,140.2473284,139.7810925,213.8196974,0.785123967,0.917355372,0.855855856,0.73362508,0.917033055,0.768759367,0.027372595,0.000749259,0.769242812,0.73362508,0.917033055,0.768759367,0.027372595,0.000749259,0.769242812,0.00335922,0.004536244,0.00335922,0.004536244,16,16,1,3,0.377920437,-0.05664436,0.333333333,0.717514124,0.757062147,0.73838789,0.010079595,0.000101598,0.738456159,0.717514124,0.757062147,0.73838789,0.010079595,0.000101598,0.738456159,0.000608431,0.001138703,0.000608431,0.001138703,4,4,1,2,0.358462715,-0.117875427,0.5,0.284721781,0.701865104,0.61096553,0.041498028,0.001722086,0.612372504,0.002237426,0.00428586,1,4,0.261979058,-0.006918313,0.25,0.187818861,0.680289224,0.541495627,0.069614689,0.004846205,0.545949851,0.003276796,0.006271561,1,4,0.261961791,-0.001874475,0.25,0.263798372,0.678756108,0.576230578,0.046213735,0.002135709,0.578079835,0.002470678,0.004733951,1,4,0.261973817,-0.011502428,0.25,0
p01_2fn,0,0.81270741,0.659496701,0.03481013,0.001211745,0.660414368,0.002384304,0.004679252,-6.410975934,5.009286921,0.058415483,1.850472684,3.424249154,1.851394481,0.034238677,0.001004233,119,11,60.95238095,182.8571429,122.110074,35.70955906,1275.172609,127.2243797,36.44054423,62.3599551,192.5711857,311.5730932,199.178293,206.3666451,330.5990116,0.811965812,0.888888889,0.913461538,0.847164,1,0.886900882,0.026292237,0.000691282,0.887287917,0.847164,1,0.886900882,0.026292237,0.000691282,0.887287917,0.003370321,0.004396177,0.003370321,0.004396177,18,18,1,3,0.438941718,0.066480953,0.333333333,0.689265537,0.711864407,0.699548023,0.006637238,4.41E-05,0.699579299,0.689265537,0.711864407,0.699548023,0.006637238,4.41E-05,0.699579299,0.000853145,0.00171782,0.000853145,0.00171782,9,9,1,3,0.340091237,0.010607779,0.333333333,0.303562009,0.788728472,0.650479879,0.050344564,0.002534575,0.652424337,0.002880628,0.005540775,1,7,0.315798937,-0.005894174,0.142857143,0.242301683,0.704272629,0.591478116,0.069687891,0.004856402,0.595567455,0.003369293,0.006323151,1,7,0.314623149,4.46E-05,0.142857143,0.272931846,0.704418049,0.620978998,0.052923009,0.002800845,0.623229098,0.002884761,0.005511774,1,7,0.315535276,-0.003587022,0.142857143,1
